"Date","Price (Close)","Circulating Marketcap","Realized Marketcap"
"2022-06-06","31483.355218125034","569813591188.9348",""
"2022-06-05","29899.877693184546","568801832675.0531","449840963761.3241"
"2022-06-04","29847.73307205254","565494631601.3855","449924697036.4778"
"2022-06-03","29676.16540902864","579849445958.394","450330495243.1457"
"2022-06-02","30436.46342754249","567636624388.0945","450793550906.50995"
"2022-06-01","29788.69390511256","605491774827.4833","451716148940.8604"
"2022-05-31","31771.38937603875","604044722173.7987","452531028170.0922"
"2022-05-30","31708.96694568402","561219601985.9402","452086692245.5357"
"2022-05-29","29452.109528824138","552681367385.8201","451749917051.6414"
"2022-05-28","29009.30150742161","544927018411.97534","451673432067.5556"
"2022-05-27","28597.029820753145","555754340862.552","451648033359.061"
"2022-05-26","29167.964539020693","562119462967.4799","452423441499.6334"
"2022-05-25","29511.77479048469","564291751828.8649","452828002126.708"
"2022-05-24","29624.359242781415","553893962440.7654","453024580462.82697"
"2022-05-23","29080.601914254326","576347435711.9735","453058077280.765"
"2022-05-22","30259.63324946595","560026594636.8591","453707600852.07733"
"2022-05-21","29439.303353769967","555400443444.9744","453604209645.31116"
"2022-05-20","29163.241707694015","576559142493.6926","453686924988.45856"
"2022-05-19","30281.175992674736","546089208132.549","454351130216.43134"
"2022-05-18","28673.35700619945","579002232973.9702","454730316493.46545"
"2022-05-17","30412.48930171669","568227318883.8379","455451028992.1923"
"2022-05-16","29832.7807153465","595854915149.5936","455750809427.97784"
"2022-05-15","31292.53086087863","572133755866.1387","456240530581.0859"
"2022-05-14","30048.70072046038","556565913681.0073","456096888516.3184"
"2022-05-13","29245.75731362568","550889119611.6167","455319837094.0512"
"2022-05-12","28959.38992939348","551700613565.0874","456174248582.5031"
"2022-05-11","28975.801360982572","590333515186.2157","457258773157.43195"
"2022-05-10","31012.79639180564","572172472027.6384","460107708847.47003"
"2022-05-09","30072.939280850434","647646974738.8799","461069457362.54724"
"2022-05-08","34027.02133303222","675042413908.2714","464041867342.93256"
"2022-05-07","35450.77174336283","685102737355.0261","464546326670.4086"
"2022-05-06","35997.00249574858","695523302060.93","464738416157.83685"
"2022-05-05","36547.03884045407","755134394422.1703","465191628859.07263"
"2022-05-04","39678.47334244683","717801884986.731","466039712563.75995"
"2022-05-03","37724.7739322608","732966590793.0903","465615683362.3505"
"2022-05-02","38518.419233853914","731921573311.598","466248352961.70886"
"2022-05-01","38474.80813289021","715828233964.2509","466890434391.4152"
"2022-04-30","37623.65697373282","734563056649.0806","466780281247.3719"
"2022-04-29","38588.32687692751","758314918822.9586","467100479327.54584"
"2022-04-28","39799.80593670362","746542699956.1802","467510535371.7521"
"2022-04-27","39244.83524336233","725039244095.096","467451222170.1201"
"2022-04-26","38116.988430839105","769150516015.2853","467376827840.0604"
"2022-04-25","40430.98657731845","750574135025.0817","468136265833.15063"
"2022-04-24","39462.182920466235","750354895493.9265","468111024566.46655"
"2022-04-23","39451.40168568521","755264071521.588","468121380871.037"
"2022-04-22","39712.773013481274","769917408861.3027","468125166707.64874"
"2022-04-21","40482.729414524874","786710396607.5529","468537637986.13684"
"2022-04-20","41366.02942481967","789197836179.706","467736562591.15485"
"2022-04-19","41501.37969688844","775959624400.6624","467634410447.41284"
"2022-04-18","40807.30059181987","754574095289.7594","467416683879.95996"
"2022-04-17","39689.09277391256","767943864221.5933","467309508295.02924"
"2022-04-16","40390.6279924254","771103729891.5579","467358925108.46216"
"2022-04-15","40555.64287504615","759473258666.0391","467381688410.2629"
"2022-04-14","39945.00042378163","782428697912.4816","467261586698.89874"
"2022-04-13","41150.35490271733","761993207259.5903","466948201213.9354"
"2022-04-12","40083.91277766068","751553542122.8496","466757889191.0814"
"2022-04-11","39533.54310937428","801428308341.9956","466156010235.98956"
"2022-04-10","42162.757863508654","812841636201.0851","466939442251.2002"
"2022-04-09","42764.05682410218","803257090513.228","467010663883.5197"
"2022-04-08","42263.37052318826","825806599225.2565","466914156490.5693"
"2022-04-07","43455.12215450721","820473965665.9729","467343435440.75977"
"2022-04-06","43176.59711905165","864806293874.3883","467366162380.94867"
"2022-04-05","45502.03195687107","885417026998.8666","468049853001.5531"
"2022-04-04","46594.42097599588","881995338551.8818","468031201965.7244"
"2022-04-03","46414.52734650312","870459180427.9181","467652544331.37103"
"2022-04-02","45822.87733644669","879690848340.7188","467374329371.8135"
